City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
273,Mareeba,AU,88.45,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
274,Bowen,AU,82.42,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
275,Trairi,BR,80.19,broken clouds,-3.2778,-39.2689,janelas do mar
277,Siuri,IN,75.42,scattered clouds,23.9167,87.5333,Sarada Hotel & Restaurant
283,Paciran,ID,79.12,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
286,Alugan,PH,80.15,broken clouds,12.2188,125.4808,JM Lodge
287,Sola,VU,79.65,overcast clouds,-13.8833,167.55,Leumerus Bungalows
288,Porto Novo,BJ,80.26,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
289,Vanimo,PG,84.16,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
291,Praya,CV,73.94,clear sky,14.9215,-23.5087,LT Aparthotel
293,Bubaque,GW,80.28,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
295,Zhuhai,CN,76.86,clear sky,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
298,Biak,ID,81.82,overcast clouds,-0.9131,122.8766,Penginapan Kim
300,Kaeo,NZ,71.33,overcast clouds,-35.1,173.7833,Bushido Lodge
302,Hwange,ZW,82.72,overcast clouds,-18.3693,26.5019,Hwange Colliery Guest House
303,Bacolod,PH,82.65,broken clouds,10.6667,122.95,Planta Hotel & Residences
305,Tura,IN,72.12,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
306,Imbituba,BR,71.82,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
307,Victoria,HK,75.96,clear sky,22.2855,114.1577,Mini Hotel Central
312,Buluang,PH,83.95,broken clouds,13.3068,123.3425,Enon Beach Resort
314,Mana,GF,75.67,overcast clouds,5.6592,-53.7767,LE SAMANA
318,Marsh Harbour,BS,77.07,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
321,Bengkulu,ID,82.85,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
323,Mitu,CO,72.7,overcast clouds,1.1983,-70.1733,
330,Odweyne,SO,73.33,clear sky,9.4092,45.064,Eng Hiirey House
332,Nacala,MZ,88.92,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
333,Sao Miguel Do Araguaia,BR,71.1,clear sky,-13.275,-50.1628,Hotel Executivo Palace
335,Orapa,BW,76.5,overcast clouds,-21.2833,25.3667,
336,Along,IN,73.36,overcast clouds,28.1667,94.7667,Hotel West
339,Diamantino,BR,71.8,overcast clouds,-14.4086,-56.4461,Hotel Delta
341,Boda,CF,80.56,overcast clouds,4.3189,17.4695,
