City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
105,Nawalapitiya,58,LK,2021-12-03 06:56:14,61,7.0559,80.5348,83.43,4.81
106,Tofield,0,CA,2021-12-03 06:56:14,67,53.3668,-112.6686,27.99,16.26
107,Pareora,100,NZ,2021-12-03 06:56:15,92,-44.4871,171.2132,65.17,4.0
108,Ribeira Grande,15,PT,2021-12-03 06:56:15,72,38.5167,-28.7,64.44,11.43
109,Kapoeta,43,SS,2021-12-03 06:56:15,36,4.7717,33.5903,87.48,25.97
110,Jibuti,0,DJ,2021-12-03 06:54:55,45,11.5,42.5,80.02,16.22
111,Grindavik,75,IS,2021-12-03 06:56:16,93,63.8424,-22.4338,31.95,8.05
112,Ostrovnoy,100,RU,2021-12-03 06:56:16,72,68.0531,39.5131,24.08,16.49
113,Barreirinhas,100,BR,2021-12-03 06:56:17,78,-2.7469,-42.8264,79.29,7.09
114,Sinnamary,91,GF,2021-12-03 06:56:17,84,5.3833,-52.95,77.09,8.19
115,Sioux Lookout,60,CA,2021-12-03 06:56:18,100,50.1001,-91.917,16.18,1.79
116,Vestmanna,75,FO,2021-12-03 06:56:18,87,62.1564,-7.1664,36.52,2.3
117,Marsh Harbour,1,BS,2021-12-03 06:56:18,65,26.5412,-77.0636,72.86,10.98
118,Morant Bay,84,JM,2021-12-03 06:56:19,82,17.8815,-76.4093,80.22,8.08
119,Talnakh,53,RU,2021-12-03 06:56:19,92,69.4865,88.3972,-21.8,4.41
120,Sao Joao Da Barra,92,BR,2021-12-03 06:56:20,84,-21.6403,-41.0511,70.99,5.88
121,Lagoa,13,PT,2021-12-03 06:56:20,79,39.05,-27.9833,63.39,14.63
122,Bowen,99,AU,2021-12-03 06:56:20,71,-20.0167,148.2333,88.02,15.93
123,Chapais,100,CA,2021-12-03 06:56:21,89,49.7834,-74.8492,13.78,13.15
124,Camana,100,PE,2021-12-03 06:56:21,84,-16.6228,-72.7111,66.42,6.58
125,Ancud,0,CL,2021-12-03 06:56:22,87,-41.8697,-73.8203,47.73,4.21
126,Corinto,0,GR,2021-12-03 06:56:22,79,37.9407,22.9573,63.63,5.95
127,Aklavik,99,CA,2021-12-03 06:56:22,94,68.2191,-135.0107,-21.17,5.08
128,Torbay,90,CA,2021-12-03 06:56:23,97,47.6666,-52.7314,44.28,26.46
129,Sindor,99,RU,2021-12-03 06:56:23,92,62.8629,51.8905,14.2,5.73
130,Port Blair,47,IN,2021-12-03 06:56:24,77,11.6667,92.75,81.79,14.23
131,Tasiilaq,51,GL,2021-12-03 06:56:24,56,65.6145,-37.6368,12.25,8.9
132,Ceres,90,US,2021-12-03 06:56:24,93,37.5949,-120.9577,54.18,0.0
133,Esperance,17,AU,2021-12-03 06:56:25,63,-33.8667,121.9,73.24,18.97
134,Kolyshley,100,RU,2021-12-03 06:56:26,96,52.7005,44.5367,33.12,14.05
135,Soyo,91,AO,2021-12-03 06:56:26,83,-6.1349,12.3689,80.58,7.67
136,Vila Velha,75,BR,2021-12-03 06:54:19,95,-20.3297,-40.2925,73.35,4.61
