City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Kurchum,KZ,48.5722,83.6542,26.02,79,96,3.87,overcast clouds
167,Olafsvik,IS,64.8945,-23.7142,41.18,74,93,19.57,overcast clouds
168,Puerto Morazan,NI,12.8504,-87.1717,73.38,74,3,4.45,clear sky
169,Chokurdakh,RU,70.6333,147.9167,-43.69,99,54,5.91,broken clouds
170,Flinders,AU,-34.5833,150.8552,69.21,70,100,9.89,light rain
171,Manokwari,ID,-0.8667,134.0833,83.66,74,31,3.27,scattered clouds
172,Humaita,BR,-7.5061,-63.0208,72.48,99,100,1.68,heavy intensity rain
173,Ostrovnoy,RU,68.0531,39.5131,10.49,77,100,21.94,overcast clouds
174,Kapaa,US,22.0752,-159.319,73.11,84,100,1.99,moderate rain
175,Tabas,IR,33.5959,56.9244,59.7,26,0,1.99,clear sky
176,Finote Selam,ET,10.7,37.2667,73.83,32,5,2.19,clear sky
177,Ixtapa,MX,20.7,-105.2,73.22,89,100,3.58,overcast clouds
178,Muzhi,RU,65.3667,64.6667,-5.89,82,89,7.67,overcast clouds
179,Grand Gaube,MU,-20.0064,57.6608,84.6,62,7,8.99,light rain
180,Minsk,BY,53.9,27.5667,26.35,97,100,6.53,light snow
181,Cabo San Lucas,MX,22.8909,-109.9124,75.51,75,100,5.37,overcast clouds
182,Kiunga,PG,-6.1219,141.2906,85.21,73,100,3.47,overcast clouds
183,Avera,US,33.194,-82.5271,56.71,89,100,6.04,overcast clouds
184,Belfast,GB,54.5833,-5.9333,42.62,94,90,9.22,moderate rain
185,Souillac,MU,-20.5167,57.5167,84.58,65,75,14.97,broken clouds
186,Touros,BR,-5.1989,-35.4608,79.02,80,33,13.35,scattered clouds
187,Oksfjord,NO,70.2396,22.3479,27.52,77,25,7.47,scattered clouds
188,Nabire,ID,-3.3667,135.4833,89.44,63,51,6.38,broken clouds
189,Castelo Branco,PT,39.8222,-7.4909,40.8,91,8,1.19,clear sky
190,Savannah Bight,HN,16.45,-85.85,77.0,79,14,7.76,few clouds
191,Roebourne,AU,-20.7833,117.1333,105.85,20,11,22.95,few clouds
192,Vardo,NO,70.3705,31.1107,15.55,79,100,20.78,overcast clouds
193,Aljezur,PT,37.3191,-8.8033,50.43,85,0,8.93,clear sky
194,Monteagudo,BO,-19.8167,-63.9833,62.56,97,100,2.93,overcast clouds
195,Havelock,US,34.8791,-76.9013,44.83,92,48,3.29,scattered clouds
196,Seoul,KR,37.5683,126.9778,53.2,40,0,3.44,clear sky
